STATE,STATE Name,CNTY,CNTY Name,Deleted,Valid Until,Type
01,Hokkaido / 北海道,0107,Obihiro / 帯広,false,,City
01,Hokkaido / 北海道,01070,Mombetsu / 紋別,false,,Gun
01,Hokkaido / 北海道,01071,Yamakoshi / 山越,false,,Gun
01,Hokkaido / 北海道,01072,Yubari / 夕張,false,,Gun
01,Hokkaido / 北海道,01073,Yufutsu(Iburi) / 勇払(胆振),false,,Gun
01,Hokkaido / 北海道,01074,Yufutsu(Kamikawa) / 勇払(上川),false,,Gun
01,Hokkaido / 北海道,01075,Yoichi / 余市,false,,Gun
01,Hokkaido / 北海道,01076,Rishiri / 利尻,false,,Gun
01,Hokkaido / 北海道,01077,Rumoi / 留萌,false,,Gun
01,Hokkaido / 北海道,01078,Rebun / 礼文,false,,Gun
01,Hokkaido / 北海道,01079,Futami / 二海,false,,Gun
01,Hokkaido / 北海道,0108,Kitami / 北見,false,,City
01,Hokkaido / 北海道,01080,Hidaka / 日高,false,,Gun
01,Hokkaido / 北海道,01081,Uryu(Kamikawa) / 雨竜(上川）,false,,Gun
01,Hokkaido / 北海道,0109,Yubari / 夕張,false,,City
01,Hokkaido / 北海道,0110,Iwamizawa / 岩見沢,false,,City
01,Hokkaido / 北海道,0111,Abashiri / 網走,false,,City
01,Hokkaido / 北海道,0112,Rumoi / 留萌,false,,City
01,Hokkaido / 北海道,0113,Tomakomai / 苫小牧,false,,City
01,Hokkaido / 北海道,0114,Wakkanai / 稚内,false,,City
01,Hokkaido / 北海道,0115,Bibai / 美唄,false,,City
01,Hokkaido / 北海道,0116,Ashibetsu / 芦別,false,,City
01,Hokkaido / 北海道,0117,Ebetsu / 江別,false,,City
01,Hokkaido / 北海道,0118,Akabira / 赤平,false,,City
01,Hokkaido / 北海道,0119,Mombetsu / 紋別,false,,City
01,Hokkaido / 北海道,0120,Shibetsu / 士別,false,,City
01,Hokkaido / 北海道,0121,Nayoro / 名寄,false,,City
01,Hokkaido / 北海道,0122,Mikasa / 三笠,false,,City
01,Hokkaido / 北海道,0123,Nemuro / 根室,false,,City
01,Hokkaido / 北海道,0124,Chitose / 千歳,false,,City
01,Hokkaido / 北海道,0125,Takikawa / 滝川,false,,City
01,Hokkaido / 北海道,0126,Sunagawa / 砂川,false,,City
01,Hokkaido / 北海道,0127,Utashinai / 歌志内,false,,City
01,Hokkaido / 北海道,0128,Fukagawa / 深川,false,,City
01,Hokkaido / 北海道,0129,Furano / 富良野,false,,City
01,Hokkaido / 北海道,0130,Noboribetsu / 登別,false,,City
01,Hokkaido / 北海道,0131,Eniwa / 恵庭,false,,City
01,Hokkaido / 北海道,0133,Date / 伊達,false,,City
01,Hokkaido / 北海道,0134,Kitahiroshima / 北広島,false,,City
01,Hokkaido / 北海道,0135,Ishikari / 石狩,false,,City
01,Hokkaido / 北海道,0136,Hokuto / 北斗,false,,City
02,Aomori / 青森,02001,Kamikita / 上北,false,,Gun
02,Aomori / 青森,02002,Kitatsugaru / 北津軽,false,,Gun
02,Aomori / 青森,02003,Sannohe / 三戸,false,,Gun
